;G1;G2;G3;G5;G6;G7;G8
G1;0.0;0.474291857296432;0.513643486248447;0.467832715242578;0.483129935391242;0.531779607474463;0.483722864099393
G2;0.474291857296432;0.0;0.440330684884038;0.424512607565845;0.462353521647959;0.464248048148769;0.459522232181131
G3;0.513643486248447;0.440330684884038;0.0;0.445411057488782;0.491176454383674;0.48835628851033;0.478712204160701
G5;0.467832715242578;0.424512607565845;0.445411057488782;0.0;0.476327087021099;0.520239022297093;0.41994750656168
G6;0.483129935391242;0.462353521647959;0.491176454383674;0.476327087021099;0.0;0.474643406705074;0.434053589861471
G7;0.531779607474463;0.464248048148769;0.48835628851033;0.520239022297093;0.474643406705074;0.0;0.561195731509155
G8;0.483722864099393;0.459522232181131;0.478712204160701;0.41994750656168;0.434053589861471;0.561195731509155;0.0
