n_participantes;raiva;antecipação;nojo;medo;alegria;tristeza;surpresa;confiança
4;10.5;10.0;13.5;18.0;10.0;20.5;9.0;15.5
6;15.0;11.4;14.8;22.2;10.0;26.2;7.0;18.8
