sne_grupo;raiva;antecipação;nojo;medo;alegria;tristeza;surpresa;confiança
0;13.75;8.75;14.5;21.0;8.5;23.25;6.25;17.25
1;13.666666666666666;14.0;14.333333333333334;21.0;12.0;26.333333333333332;9.333333333333334;18.666666666666668
