sexo_predominante_pacientexs;raiva;antecipação;nojo;medo;alegria;tristeza;surpresa;confiança
feminino;15.333333333333334;12.666666666666666;13.666666666666666;22.666666666666668;11.0;26.666666666666668;9.333333333333334;18.333333333333332
masculino;12.5;9.75;15.0;19.75;9.25;23.0;6.25;17.5
