escolaridade_predominante;raiva;antecipação;nojo;medo;alegria;tristeza;surpresa;confiança
medio;14.0;11.8;14.2;20.6;10.2;25.6;7.8;18.2
superior;13.0;9.0;15.0;22.0;9.5;22.0;7.0;17.0
