sexo_predominante_responsaveis;raiva;antecipação;nojo;medo;alegria;tristeza;surpresa;confiança
feminino;13.166666666666666;11.166666666666666;14.0;19.666666666666668;10.0;24.166666666666668;8.0;17.333333333333332
masculino;17.0;10.0;17.0;29.0;10.0;27.0;5.0;21.0
