regiao_predominante;raiva;antecipação;nojo;medo;alegria;tristeza;surpresa;confiança
centro-oeste;13.666666666666666;14.0;14.333333333333334;21.0;12.0;26.333333333333332;9.333333333333334;18.666666666666668
norte;17.0;10.0;17.0;29.0;10.0;27.0;5.0;21.0
sudeste;12.666666666666666;8.333333333333334;13.666666666666666;18.333333333333332;8.0;22.0;6.666666666666667;16.0
