doc_id;topico_dominante
grupo6__uce0027;3
grupo6__uce0028;3
grupo6__uce0029;3
grupo6__uce0030;3
grupo6__uce0031;3
grupo6__uce0032;3
grupo6__uce0033;3
grupo6__uce0034;3
grupo6__uce0035;4
grupo6__uce0036;1
grupo6__uce0037;3
grupo6__uce0038;3
grupo6__uce0039;4
grupo6__uce0040;4
grupo6__uce0041;3
grupo6__uce0042;1
grupo6__uce0043;1
grupo6__uce0044;1
grupo6__uce0045;1
grupo6__uce0046;1
grupo6__uce0047;1
grupo6__uce0048;2
grupo6__uce0049;2
grupo6__uce0050;1
grupo6__uce0051;1
grupo6__uce0052;3
grupo6__uce0053;1
grupo6__uce0054;1
grupo7__uce0000;2
grupo7__uce0001;1
grupo7__uce0002;1
grupo7__uce0003;1
grupo7__uce0004;2
grupo7__uce0005;1
grupo7__uce0006;1
grupo7__uce0007;4
grupo7__uce0008;4
grupo7__uce0009;4
grupo7__uce0010;1
grupo7__uce0011;4
grupo7__uce0012;4
grupo7__uce0013;2
grupo7__uce0014;1
grupo7__uce0015;1
grupo7__uce0016;2
grupo7__uce0017;4
grupo7__uce0018;4
grupo7__uce0019;3
grupo7__uce0020;4
grupo7__uce0021;3
grupo7__uce0022;3
grupo7__uce0023;3
grupo7__uce0024;3
grupo7__uce0025;4
grupo7__uce0026;3
grupo7__uce0027;3
grupo7__uce0028;3
grupo7__uce0029;1
grupo7__uce0030;2
grupo7__uce0031;4
grupo7__uce0032;2
grupo7__uce0033;4
grupo7__uce0034;3
grupo7__uce0035;2
grupo7__uce0036;4
grupo8__uce0001;2
grupo8__uce0002;1
grupo8__uce0003;1
grupo8__uce0004;1
grupo8__uce0005;2
grupo8__uce0006;3
grupo8__uce0007;1
grupo8__uce0008;1
grupo8__uce0009;2
grupo8__uce0010;2
grupo8__uce0011;2
grupo8__uce0012;1
grupo8__uce0013;2
grupo8__uce0014;4
grupo8__uce0015;3
grupo8__uce0016;3
grupo8__uce0017;1
grupo8__uce0018;3
grupo8__uce0019;3
grupo8__uce0020;2
grupo8__uce0021;3
grupo8__uce0022;4
grupo8__uce0023;3
grupo8__uce0024;3
grupo8__uce0025;3
grupo8__uce0026;3
grupo8__uce0027;3
grupo8__uce0028;3
grupo8__uce0029;4
grupo8__uce0030;3
grupo8__uce0031;3
grupo8__uce0032;4
grupo8__uce0033;3
grupo8__uce0034;3
grupo8__uce0035;3
grupo8__uce0036;3
grupo8__uce0037;3
grupo8__uce0038;1
grupo8__uce0039;4
grupo8__uce0040;4
grupo8__uce0041;1
grupo8__uce0042;3
grupo8__uce0043;3
grupo8__uce0044;3
grupo8__uce0045;3
grupo8__uce0046;1
grupo8__uce0047;4
grupo8__uce0048;2
