uce_id;classe
grupo2__uce0061;3
grupo2__uce0062;3
grupo2__uce0063;1
grupo2__uce0064;2
grupo2__uce0065;2
grupo2__uce0066;2
grupo2__uce0067;2
grupo2__uce0068;2
grupo2__uce0069;2
grupo2__uce0070;2
grupo3__uce0000;1
grupo3__uce0001;1
grupo3__uce0002;2
grupo3__uce0003;1
grupo3__uce0004;2
grupo3__uce0005;2
grupo3__uce0006;2
grupo3__uce0007;1
grupo3__uce0008;1
grupo3__uce0009;1
grupo3__uce0010;1
grupo3__uce0011;1
grupo3__uce0012;1
grupo3__uce0013;2
grupo3__uce0014;2
grupo3__uce0015;2
grupo3__uce0016;2
grupo3__uce0017;2
grupo3__uce0018;2
grupo3__uce0019;2
grupo3__uce0020;1
grupo3__uce0021;1
grupo3__uce0022;2
grupo3__uce0023;1
grupo3__uce0024;1
grupo3__uce0025;1
grupo3__uce0026;3
grupo3__uce0027;3
grupo3__uce0028;1
grupo3__uce0029;1
grupo3__uce0030;1
grupo3__uce0031;1
grupo3__uce0032;1
grupo3__uce0033;2
grupo3__uce0034;1
grupo3__uce0035;1
grupo3__uce0036;1
grupo3__uce0037;1
grupo3__uce0038;1
grupo3__uce0039;2
grupo3__uce0040;3
grupo3__uce0041;3
grupo3__uce0042;3
grupo3__uce0043;3
grupo3__uce0044;3
grupo3__uce0045;1
grupo3__uce0046;3
grupo3__uce0047;1
grupo3__uce0048;2
grupo3__uce0049;3
grupo3__uce0050;1
grupo3__uce0051;1
grupo3__uce0052;1
grupo3__uce0053;1
grupo3__uce0054;1
grupo3__uce0055;1
grupo3__uce0056;1
grupo3__uce0057;3
grupo5__uce0000;2
grupo5__uce0001;1
grupo5__uce0002;2
grupo5__uce0003;1
grupo5__uce0004;2
grupo5__uce0005;2
grupo5__uce0006;2
grupo5__uce0007;2
grupo5__uce0008;2
grupo5__uce0009;2
grupo5__uce0010;2
grupo5__uce0011;2
grupo5__uce0012;2
grupo5__uce0013;2
grupo5__uce0014;2
grupo5__uce0015;1
grupo5__uce0016;2
grupo5__uce0017;2
grupo5__uce0018;1
grupo5__uce0019;2
grupo5__uce0020;2
grupo5__uce0021;2
grupo5__uce0022;2
grupo5__uce0023;2
grupo5__uce0024;2
grupo5__uce0025;2
grupo5__uce0026;2
grupo5__uce0027;2
grupo5__uce0028;1
grupo5__uce0029;2
grupo5__uce0030;2
grupo5__uce0031;1
grupo5__uce0032;1
grupo5__uce0033;1
grupo5__uce0034;1
grupo5__uce0035;1
grupo5__uce0036;1
grupo5__uce0037;1
grupo5__uce0038;1
grupo5__uce0039;1
grupo5__uce0040;3
grupo5__uce0041;3
grupo5__uce0042;1
grupo5__uce0043;1
grupo5__uce0044;1
grupo5__uce0045;1
grupo5__uce0046;1
grupo5__uce0047;1
grupo5__uce0048;1
grupo5__uce0049;1
grupo5__uce0050;1
grupo5__uce0051;2
grupo5__uce0052;2
grupo6__uce0000;2
grupo6__uce0001;2
grupo6__uce0002;2
grupo6__uce0003;2
grupo6__uce0004;2
grupo6__uce0005;2
grupo6__uce0006;2
grupo6__uce0007;2
grupo6__uce0008;2
grupo6__uce0009;2
grupo6__uce0010;2
grupo6__uce0011;1
grupo6__uce0012;2
grupo6__uce0013;1
grupo6__uce0014;1
grupo6__uce0015;1
grupo6__uce0016;1
grupo6__uce0017;1
grupo6__uce0018;1
grupo6__uce0019;1
grupo6__uce0020;1
grupo6__uce0021;1
grupo6__uce0022;1
grupo6__uce0023;1
grupo6__uce0024;1
grupo6__uce0025;1
grupo6__uce0026;1
grupo6__uce0027;1
grupo6__uce0028;1
grupo6__uce0029;1
grupo6__uce0030;1
grupo6__uce0031;1
grupo6__uce0032;2
grupo6__uce0033;1
grupo6__uce0034;1
grupo6__uce0035;1
grupo6__uce0036;1
grupo6__uce0037;1
grupo6__uce0038;1
grupo6__uce0039;1
grupo6__uce0040;1
grupo6__uce0041;1
grupo6__uce0042;2
grupo6__uce0043;2
grupo6__uce0044;2
grupo6__uce0045;2
grupo6__uce0046;2
grupo6__uce0047;2
grupo6__uce0048;2
grupo6__uce0049;2
grupo6__uce0050;1
grupo6__uce0051;2
grupo6__uce0052;1
grupo6__uce0053;2
grupo6__uce0054;2
grupo7__uce0000;2
grupo7__uce0001;2
grupo7__uce0002;2
grupo7__uce0003;2
grupo7__uce0004;2
grupo7__uce0005;2
grupo7__uce0006;2
grupo7__uce0007;2
grupo7__uce0008;1
grupo7__uce0009;1
grupo7__uce0010;2
