form;part;score;sign;observed;expected
alteração;0;3.089;+;3;0.281
querer;0;2.143;-;1;6.656
dúvida;1;3.151;-;1;6.38
remédio;1;2.922;+;27;19.14
receio;1;2.652;-;0;3.828
doce;1;2.138;-;10;16.588
gostar;1;2.051;-;15;22.33
gostar;2;3.31;+;19;9.389
dúvida;2;3.164;+;8;2.683
salgado;2;2.703;+;6;1.878
agradecer;2;2.288;+;4;1.073
pôr;2;2.212;+;6;2.146
doce;2;2.021;+;13;6.975
