forma;parte;score
peso;centro-oeste;1.1765
pesquisar;centro-oeste;-1.3923
pessoa;centro-oeste;0.3994
pior;centro-oeste;-0.2356
praticamente;centro-oeste;-0.7688
preciso;centro-oeste;0.3781
preferir;centro-oeste;0.1595
preso;centro-oeste;0.6019
problema;centro-oeste;0.2514
procedimento;centro-oeste;-0.2356
processo;centro-oeste;-0.7688
proibir;centro-oeste;-0.7688
puro;centro-oeste;-0.2356
pó;centro-oeste;0.7995
pôr;centro-oeste;0.5991
qualidade;centro-oeste;-0.2356
quantidade;centro-oeste;-0.4883
queijo;centro-oeste;0.1595
querer;centro-oeste;0.2912
questão;centro-oeste;-0.2772
quimioterapia;centro-oeste;-1.26
receio;centro-oeste;-0.3464
recurso;centro-oeste;-0.2356
relacionar;centro-oeste;-0.2092
relutante;centro-oeste;0.7023
remédio;centro-oeste;1.1945
resolver;centro-oeste;0.2205
respirar;centro-oeste;0.7023
ressecar;centro-oeste;0.2205
restrição;centro-oeste;1.0538
resultado;centro-oeste;0.3781
rim;centro-oeste;-0.7688
ritmo;centro-oeste;-0.7688
ruim;centro-oeste;0.5991
rápido;centro-oeste;0.8329
sabor;centro-oeste;1.4725
sabão;centro-oeste;-0.3464
sair;centro-oeste;0.3562
salgado;centro-oeste;0.4177
salvar;centro-oeste;-0.4
salvação;centro-oeste;-0.5124
saudável;centro-oeste;-0.7726
seguro;centro-oeste;-0.2356
seletivo;centro-oeste;-0.5806
semana;centro-oeste;0.374
sensível;centro-oeste;0.6281
sentar;centro-oeste;-0.4301
sentir;centro-oeste;-2.5635
sofrer;centro-oeste;-0.3464
soltar;centro-oeste;0.26
sonda;centro-oeste;-0.3417
suco;centro-oeste;-0.4883
suplemento;centro-oeste;-0.4264
suprir;centro-oeste;-1.0254
tempero;centro-oeste;-1.282
tomar;centro-oeste;-0.402
tranquilo;centro-oeste;-0.4301
tratamento;centro-oeste;-0.4209
trocar;centro-oeste;0.3781
uso;centro-oeste;2.0777
uti;centro-oeste;-0.3464
vender;centro-oeste;-0.5806
verdura;centro-oeste;-0.6259
verduras;centro-oeste;-1.5388
via;centro-oeste;2.0777
vida;centro-oeste;0.2901
vitamina;centro-oeste;0.8975
voltar;centro-oeste;-0.2772
vomitar;centro-oeste;0.6843
vontade;centro-oeste;0.26
ácido;centro-oeste;1.0538
água;centro-oeste;-0.2404
ótimo;centro-oeste;0.6281
acabar;norte;-0.4424
aceitar;norte;-2.0486
acompanhar;norte;0.6417
acostumar;norte;-0.2701
acreditar;norte;-0.9918
adaptar;norte;-0.2701
adiantar;norte;1.8786
adolescente;norte;0.4694
adorar;norte;0.5044
agradecer;norte;-0.3602
ajudar;norte;-0.778
alimentação;norte;-0.351
alteração;norte;-0.2701
alto;norte;-0.18
ambiente;norte;-0.2701
amendoim;norte;2.1854
apetite;norte;-0.7209
aprender;norte;-0.8112
apresentar;norte;-0.2701
arroz;norte;-0.5052
arrumar;norte;-0.2701
atrapalhar;norte;-0.3602
autismo;norte;2.1854
azedo;norte;-0.09
açúcar;norte;-0.213
bastante;norte;-1.128
bater;norte;-0.26
beber;norte;0.6699
bem;norte;-0.7433
benefício;norte;-0.2701
besteira;norte;1.809
boca;norte;0.3463
bola;norte;-0.18
bolo;norte;1.4563
bonito;norte;-0.2701
botar;norte;-0.2701
braço;norte;-0.2701
brigar;norte;-0.2701
básico;norte;-0.1631
cabeça;norte;-0.4503
café;norte;-0.3602
carne;norte;-0.5052
casa;norte;0.4554
casca;norte;0.249
cheiro;norte;-0.6355
comer;norte;0.7436
começar;norte;-1.7715
comida;norte;0.7804
comprar;norte;1.6053
conhecimento;norte;1.5795
conseguir;norte;-0.6793
consulta;norte;0.3344
contar;norte;-0.6307
continuar;norte;-0.3815
conversar;norte;-0.4503
corpo;norte;1.3468
correr;norte;-0.3227
correto;norte;-0.5405
cortar;norte;-0.213
cozinhar;norte;0.1902
cru;norte;0.249
cuidado;norte;-0.3602
câncer;norte;0.2985
danone;norte;-0.18
dentro;norte;1.6487
depender;norte;0.1902
descobrir;norte;0.1902
desconto;norte;1.4563
deus;norte;0.7011
diagnóstico;norte;-0.2701
diarreia;norte;-0.3602
dieta;norte;-0.5405
diferente;norte;-0.3036
dificuldade;norte;1.7283
digestão;norte;-0.2701
diminuir;norte;-0.9015
direto;norte;-0.5405
doce;norte;0.2576
dor;norte;-0.5405
dormir;norte;-0.3602
doutor;norte;2.1498
dúvida;norte;-0.3815
emagrecer;norte;-0.2701
engasgava;norte;-0.09
engolir;norte;-0.213
engordar;norte;-0.8112
enjoar;norte;3.346
entender;norte;0.7845
entrar;norte;-0.4503
errado;norte;-0.2701
específico;norte;-0.2701
esperar;norte;0.1902
essencial;norte;0.1902
estômago;norte;-0.1631
evitar;norte;0.3344
exame;norte;0.1902
exemplo;norte;-0.3227
experiência;norte;-0.1631
explicar;norte;-0.1804
falado;norte;-0.2701
falta;norte;0.7924
fase;norte;-0.1631
feijão;norte;-0.6307
final;norte;-0.2701
forma;norte;0.249
forte;norte;-0.4503
forçar;norte;0.5173
fraco;norte;-0.18
frango;norte;0.1902
frente;norte;0.3344
fruta;norte;-0.2322
funcionar;norte;0.4115
furado;norte;-0.09
fácil;norte;-0.7209
ganhar;norte;-0.5405
garrafa;norte;-0.3227
gastrostomia;norte;-1.4441
geral;norte;-0.4503
gostar;norte;-0.4722
gosto;norte;-0.3227
graça;norte;0.5882
grosso;norte;-0.2701
higiene;norte;-0.26
hipoclorito;norte;-0.3815
horrível;norte;-0.2701
hospital;norte;1.6619
importante;norte;-0.7209
imunidade;norte;0.7564
incomodar;norte;0.2332
independente;norte;-0.3602
infecção;norte;0.3344
interessante;norte;0.1902
internar;norte;0.9996
intestino;norte;-0.2189
introdução;norte;-0.2701
inventar;norte;0.3344
invocar;norte;1.4563
início;norte;0.7644
japonês;norte;2.1854
lado;norte;0.249
legume;norte;0.4012
leite;norte;-0.447
lembrar;norte;0.1902
levar;norte;0.7924
lidar;norte;-0.2701
líquido;norte;-0.3602
macarrão;norte;-0.1631
machucar;norte;-0.1631
magro;norte;-0.4503
maior;norte;0.2332
mal;norte;0.2223
mandar;norte;-0.4503
manhã;norte;-0.3602
manter;norte;-0.3036
mato;norte;-0.2701
medida;norte;-0.2701
medo;norte;-1.8065
melhorar;norte;-0.6307
menos;norte;-0.447
metade;norte;-0.09
metotrexato;norte;-0.6307
molho;norte;-0.2701
momento;norte;0.1902
monte;norte;1.0369
moído;norte;-0.2701
mudar;norte;0.4012
mundo;norte;-0.5405
mão;norte;0.3344
nariz;norte;-0.3602
necessidade;norte;-0.2189
noite;norte;0.1902
notar;norte;0.249
nunca;norte;-0.2542
nutricionista;norte;-0.9015
nutrir;norte;-0.2701
náusea;norte;2.5918
observar;norte;0.986
oferecer;norte;1.5795
ontem;norte;-0.2664
oral;norte;-0.8112
ovo;norte;0.249
paladar;norte;-0.6307
parar;norte;-0.4424
parecer;norte;-0.8112
passar;norte;0.3083
pedaço;norte;1.4563
pedir;norte;-0.3227
pensar;norte;0.2804
pequeno;norte;-0.213
perceber;norte;0.8982
perder;norte;-0.3142
perguntar;norte;0.7924
permanecer;norte;-0.18
período;norte;-0.3602
peso;norte;-0.7736
pesquisar;norte;1.835
pessoa;norte;0.1902
pior;norte;0.3344
praticamente;norte;0.3344
preciso;norte;-0.2701
preferir;norte;-0.18
preso;norte;-0.2189
problema;norte;0.3463
procedimento;norte;0.3344
processo;norte;1.0369
proibir;norte;2.1854
puro;norte;-0.2701
pó;norte;-0.8112
pôr;norte;-0.7209
qualidade;norte;0.3344
quantidade;norte;-0.6307
queijo;norte;-0.18
querer;norte;0.7941
questão;norte;-0.6622
quimioterapia;norte;1.0106
receio;norte;-0.5405
recurso;norte;-0.2701
relacionar;norte;0.8982
relutante;norte;-0.18
remédio;norte;1.3949
resolver;norte;0.249
respirar;norte;-0.18
ressecar;norte;-0.3602
restrição;norte;-0.2701
resultado;norte;-0.2701
rim;norte;-0.2701
ritmo;norte;-0.2701
ruim;norte;-0.7209
rápido;norte;0.4115
sabor;norte;-0.6307
sabão;norte;-0.5405
sair;norte;0.2985
salgado;norte;-0.213
salvar;norte;-0.3602
salvação;norte;-0.18
saudável;norte;1.8786
seguro;norte;-0.2701
seletivo;norte;0.6261
semana;norte;-0.7712
sensível;norte;-0.3602
sentar;norte;0.6417
sentir;norte;1.9706
sofrer;norte;0.5044
soltar;norte;-0.5405
sonda;norte;-0.3689
suco;norte;0.8982
suplemento;norte;-0.74
suprir;norte;0.7924
tempero;norte;-0.4503
tomar;norte;0.4766
tranquilo;norte;0.6417
tratamento;norte;0.3602
trocar;norte;-0.2701
uso;norte;-0.8112
uti;norte;-0.5405
vender;norte;0.1902
verdura;norte;0.988
verduras;norte;0.5044
via;norte;-0.8112
vida;norte;-0.2664
vitamina;norte;0.1902
voltar;norte;0.2421
vomitar;norte;0.5288
vontade;norte;0.5044
ácido;norte;-0.2701
água;norte;-0.3859
ótimo;norte;-0.3602
acabar;sudeste;-0.2058
aceitar;sudeste;-0.2511
acompanhar;sudeste;-0.5259
acostumar;sudeste;0.515
acreditar;sudeste;0.747
adaptar;sudeste;-0.5966
adiantar;sudeste;-0.5416
adolescente;sudeste;-0.3977
adorar;sudeste;-1.194
agradecer;sudeste;1.7416
ajudar;sudeste;0.3159
alimentação;sudeste;1.0402
alteração;sudeste;1.3058
alto;sudeste;0.222
ambiente;sudeste;-0.1583
amendoim;sudeste;-0.5966
apetite;sudeste;0.4799
aprender;sudeste;0.695
apresentar;sudeste;-0.5966
arroz;sudeste;-0.5214
arrumar;sudeste;0.515
atrapalhar;sudeste;0.8434
autismo;sudeste;-0.5966
azedo;sudeste;-0.1988
açúcar;sudeste;-1.3934
bastante;sudeste;1.7858
bater;sudeste;-0.6273
beber;sudeste;-0.6273
bem;sudeste;0.5028
benefício;sudeste;1.3058
besteira;sudeste;0.6363
boca;sudeste;0.2578
bola;sudeste;-0.3977
bolo;sudeste;-0.3977
bonito;sudeste;-0.1583
botar;sudeste;0.515
braço;sudeste;-0.5966
brigar;sudeste;0.515
básico;sudeste;0.8638
cabeça;sudeste;-0.4028
café;sudeste;0.3301
carne;sudeste;-0.5214
casa;sudeste;0.7042
casca;sudeste;-0.7957
cheiro;sudeste;0.6527
comer;sudeste;0.3607
começar;sudeste;0.8293
comida;sudeste;0.2744
comprar;sudeste;0.2734
conhecimento;sudeste;-0.6878
conseguir;sudeste;-0.2941
consulta;sudeste;-0.5966
contar;sudeste;-0.3074
continuar;sudeste;-0.3306
conversar;sudeste;1.1933
corpo;sudeste;0.2126
correr;sudeste;-0.5259
correto;sudeste;0.8638
cortar;sudeste;0.6401
cozinhar;sudeste;-0.4028
cru;sudeste;-0.2738
cuidado;sudeste;0.3301
câncer;sudeste;1.0139
danone;sudeste;0.8703
dentro;sudeste;-0.7957
depender;sudeste;-0.9948
descobrir;sudeste;-0.4028
desconto;sudeste;-0.3977
deus;sudeste;-0.2518
diagnóstico;sudeste;0.515
diarreia;sudeste;0.3301
dieta;sudeste;0.8638
diferente;sudeste;0.3849
dificuldade;sudeste;0.8295
digestão;sudeste;-0.5966
diminuir;sudeste;-1.1572
direto;sudeste;0.4111
doce;sudeste;0.3004
dor;sudeste;-1.194
dormir;sudeste;-0.2738
doutor;sudeste;-0.7184
dúvida;sudeste;3.0977
emagrecer;sudeste;-0.1583
engasgava;sudeste;0.435
engolir;sudeste;0.6401
engordar;sudeste;1.1745
enjoar;sudeste;-0.8565
entender;sudeste;0.437
entrar;sudeste;0.581
errado;sudeste;-0.1583
específico;sudeste;1.3058
esperar;sudeste;-0.4028
essencial;sudeste;0.2187
estômago;sudeste;-0.2133
evitar;sudeste;0.515
exame;sudeste;0.581
exemplo;sudeste;0.695
experiência;sudeste;-0.2133
explicar;sudeste;0.4231
falado;sudeste;-0.1583
falta;sudeste;-0.2738
fase;sudeste;0.4111
feijão;sudeste;-0.3074
final;sudeste;-0.1583
forma;sudeste;0.8434
forte;sudeste;-0.9948
forçar;sudeste;-1.3316
fraco;sudeste;0.222
frango;sudeste;-0.9948
frente;sudeste;-0.5966
fruta;sudeste;-1.3708
funcionar;sudeste;-0.3074
furado;sudeste;-0.1988
fácil;sudeste;0.2126
ganhar;sudeste;-1.194
garrafa;sudeste;-0.2477
gastrostomia;sudeste;-3.1912
geral;sudeste;0.2187
gostar;sudeste;0.7574
gosto;sudeste;-0.2477
graça;sudeste;-0.432
grosso;sudeste;-0.5966
higiene;sudeste;0.7968
hipoclorito;sudeste;1.4694
horrível;sudeste;0.515
hospital;sudeste;-1.0447
importante;sudeste;0.4799
imunidade;sudeste;0.2126
incomodar;sudeste;0.5417
independente;sudeste;-0.2738
infecção;sudeste;0.515
interessante;sudeste;-0.4028
internar;sudeste;-0.2357
intestino;sudeste;-0.2734
introdução;sudeste;0.515
inventar;sudeste;-0.5966
invocar;sudeste;-0.3977
início;sudeste;-0.9072
japonês;sudeste;-0.5966
lado;sudeste;-0.2738
legume;sudeste;0.8918
leite;sudeste;-0.4416
lembrar;sudeste;-0.4028
levar;sudeste;-0.2738
lidar;sudeste;1.3058
líquido;sudeste;-0.7957
macarrão;sudeste;-0.5416
machucar;sudeste;-0.2133
magro;sudeste;0.2187
maior;sudeste;-0.3306
mal;sudeste;0.2454
mandar;sudeste;1.1933
manhã;sudeste;0.8434
manter;sudeste;0.3849
mato;sudeste;-0.5966
medida;sudeste;-0.1583
medo;sudeste;1.136
melhorar;sudeste;-0.6878
menos;sudeste;-0.4416
metade;sudeste;-0.1988
metotrexato;sudeste;0.6401
molho;sudeste;1.3058
momento;sudeste;-0.4028
monte;sudeste;-0.5966
moído;sudeste;-0.5966
mudar;sudeste;-1.6315
mundo;sudeste;-0.5416
mão;sudeste;-0.1583
nariz;sudeste;0.3301
necessidade;sudeste;0.5988
noite;sudeste;-0.4028
notar;sudeste;-0.7957
nunca;sudeste;0.29
nutricionista;sudeste;0.9341
nutrir;sudeste;0.515
náusea;sudeste;-0.3123
observar;sudeste;-1.828
oferecer;sudeste;-1.3934
