;eixo1;eixo2;cor1;cor2;ctr1;ctr2;massa;qualidade_2d
classe1;-0.4794;0.2229;0.8223;0.1777;0.3459;0.0919;0.56215;1.0
classe2;0.7056;-0.1286;0.9678;0.0322;0.5583;0.0228;0.41889;1.0
classe3;-1.3738;-3.7658;0.1175;0.8825;0.0958;0.8852;0.01896;1.0
