forma;parte;score
alto;2;0.3329
ambiente;2;-0.4071
amendoim;2;-0.4071
apetite;2;-1.0867
aprender;2;-0.5881
apresentar;2;0.7516
arroz;2;1.1334
arrumar;2;-0.4071
atrapalhar;2;1.2108
autismo;2;-0.4071
azedo;2;-0.1356
açúcar;2;0.5494
bastante;2;0.4903
bater;2;-0.5534
beber;2;0.9722
bem;2;-0.7494
benefício;2;-0.4071
besteira;2;0.9638
boca;2;-0.2814
bola;2;-0.2713
bolo;2;-0.2713
bonito;2;0.7516
botar;2;0.2159
braço;2;-0.4071
brigar;2;0.2159
básico;2;-0.3089
cabeça;2;-0.6788
café;2;-0.1505
carne;2;0.7052
casa;2;-1.3377
casca;2;-0.1505
cheiro;2;0.8356
comer;2;-0.7301
começar;2;0.9647
comida;2;1.0585
comprar;2;0.5719
conhecimento;2;-0.9507
conseguir;2;0.3665
consulta;2;0.2159
contar;2;-0.3976
continuar;2;0.5719
conversar;2;0.3918
corpo;2;-1.0867
correr;2;-0.5881
correto;2;-0.3089
cortar;2;-0.9507
cozinhar;2;-0.226
cru;2;-0.1505
cuidado;2;-0.1505
câncer;2;-0.6363
danone;2;1.1433
dentro;2;-0.5429
depender;2;-0.226
descobrir;2;-0.226
desconto;2;-0.2713
deus;2;-0.2975
diagnóstico;2;-0.4071
diarreia;2;-0.5429
dieta;2;0.2933
diferente;2;-0.6363
dificuldade;2;-0.6045
digestão;2;-0.4071
diminuir;2;-0.6885
direto;2;0.2933
doce;2;2.0206
dor;2;0.2933
dormir;2;0.5334
doutor;2;-0.9018
dúvida;2;3.1641
emagrecer;2;0.2159
engasgava;2;-0.1356
engolir;2;1.7568
engordar;2;1.1921
enjoar;2;0.4261
entender;2;0.3604
entrar;2;0.3918
errado;2;0.2159
específico;2;-0.4071
esperar;2;-0.226
essencial;2;-0.226
estômago;2;0.7008
evitar;2;-0.4071
exame;2;0.3918
exemplo;2;-0.26
experiência;2;0.2933
explicar;2;-0.3982
falado;2;0.2159
falta;2;-0.5429
fase;2;0.7008
feijão;2;1.0536
final;2;-0.4071
forma;2;-0.5429
forte;2;-0.226
forçar;2;0.4261
fraco;2;-0.2713
frango;2;-0.226
frente;2;-0.4071
fruta;2;1.0585
funcionar;2;-0.3976
furado;2;-0.1356
fácil;2;-0.4909
ganhar;2;-0.3089
garrafa;2;-1.2228
gastrostomia;2;0.6195
geral;2;-0.6788
gostar;2;3.3104
gosto;2;0.6965
graça;2;-0.3394
grosso;2;0.2159
higiene;2;0.9722
hipoclorito;2;0.2768
horrível;2;0.2159
hospital;2;-0.2814
importante;2;-0.4909
imunidade;2;-0.1988
incomodar;2;0.2768
independente;2;-0.1505
infecção;2;-0.4071
interessante;2;-0.6788
internar;2;0.2501
intestino;2;-0.4739
introdução;2;0.2159
inventar;2;0.2159
invocar;2;-0.2713
início;2;-0.4739
