form;part;score;sign;observed;expected
alteração;0;3.089;+;3;0.281
querer;0;2.143;-;1;6.656
alimentação;1;4.173;+;34;23.359
dúvida;1;3.084;-;1;6.313
gastrostomia;1;2.189;+;15;10.101
medo;1;2.014;-;7;12.626
forçar;1;2.013;+;14;9.47
dúvida;2;5.471;+;8;1.338
agradecer;2;3.5;+;4;0.535
gostar;2;2.359;+;11;4.682
engolir;2;2.102;+;4;0.936
salvar;2;2.067;+;3;0.535
acreditar;2;2.015;+;5;1.472
braço;3;2.554;+;3;0.423
digestão;3;2.554;+;3;0.423
alimentação;3;2.462;-;0;5.223
