forma;parte;score
vida;medio;0.5308
vitamina;medio;0.2458
voltar;medio;-0.9782
vomitar;medio;-0.6505
vontade;medio;-0.2694
ácido;medio;0.4298
água;medio;0.3027
ótimo;medio;0.1641
acabar;superior;-0.8529
aceitar;superior;-2.7705
acompanhar;superior;0.6427
acostumar;superior;-0.4298
acreditar;superior;-0.8529
adaptar;superior;-0.4298
adiantar;superior;1.2508
adolescente;superior;0.3161
adorar;superior;0.2694
agradecer;superior;-0.5732
ajudar;superior;-1.1105
alimentação;superior;-0.847
alteração;superior;1.6555
alto;superior;-0.2865
ambiente;superior;-0.4298
amendoim;superior;1.6555
apetite;superior;0.3984
aprender;superior;0.3138
apresentar;superior;-0.4298
arroz;superior;-0.5218
arrumar;superior;-0.4298
atrapalhar;superior;-0.1641
autismo;superior;1.6555
azedo;superior;-0.1432
açúcar;superior;-0.4306
bastante;superior;-0.3595
bater;superior;-0.3175
beber;superior;0.2851
bem;superior;0.4742
benefício;superior;-0.4298
besteira;superior;0.8696
boca;superior;0.5388
bola;superior;-0.2865
bolo;superior;1.1033
bonito;superior;-0.4298
botar;superior;-0.4298
braço;superior;-0.4298
brigar;superior;0.2018
básico;superior;1.2508
cabeça;superior;-0.2458
café;superior;-0.5732
carne;superior;-0.5218
casa;superior;0.5552
casca;superior;-0.1641
cheiro;superior;-0.6977
comer;superior;0.8243
começar;superior;-1.4339
comida;superior;-0.3655
comprar;superior;0.9242
conhecimento;superior;1.6683
conseguir;superior;-0.9277
consulta;superior;0.2018
contar;superior;0.2014
continuar;superior;-0.3615
conversar;superior;-0.2458
corpo;superior;0.7943
correr;superior;-0.2886
correto;superior;-0.3352
cortar;superior;-0.4306
cozinhar;superior;-0.2458
cru;superior;-0.1641
cuidado;superior;-0.1641
câncer;superior;0.4515
danone;superior;-0.2865
dentro;superior;1.1559
depender;superior;-0.2458
descobrir;superior;-0.2458
desconto;superior;1.1033
deus;superior;1.1279
diagnóstico;superior;-0.4298
diarreia;superior;0.502
dieta;superior;-0.3352
diferente;superior;0.4515
dificuldade;superior;2.2369
digestão;superior;-0.4298
diminuir;superior;-1.4348
direto;superior;0.2694
doce;superior;0.3437
dor;superior;-0.8602
dormir;superior;-0.5732
doutor;superior;1.1279
dúvida;superior;-0.3615
emagrecer;superior;-0.4298
engasgava;superior;-0.1432
engolir;superior;-0.4306
engordar;superior;-1.291
enjoar;superior;2.0228
entender;superior;0.5552
entrar;superior;-0.7166
errado;superior;-0.4298
específico;superior;0.2018
esperar;superior;0.3643
essencial;superior;-0.2458
estômago;superior;-0.3352
evitar;superior;0.2018
exame;superior;0.3643
exemplo;superior;-0.2886
experiência;superior;-0.3352
explicar;superior;0.77
falado;superior;-0.4298
falta;superior;0.502
fase;superior;0.2694
feijão;superior;-0.4306
final;superior;-0.4298
forma;superior;1.1559
forte;superior;-0.7166
forçar;superior;-0.2355
fraco;superior;-0.2865
frango;superior;-0.2458
frente;superior;0.2018
fruta;superior;-0.7201
funcionar;superior;0.9899
furado;superior;-0.1432
fácil;superior;-0.5308
ganhar;superior;-0.8602
garrafa;superior;-0.635
gastrostomia;superior;-2.2985
geral;superior;-0.2458
gostar;superior;-1
gosto;superior;-0.635
graça;superior;0.7613
grosso;superior;-0.4298
higiene;superior;-0.3175
hipoclorito;superior;0.5228
horrível;superior;-0.4298
hospital;superior;0.8925
importante;superior;-0.5308
imunidade;superior;1.3553
incomodar;superior;-0.3615
independente;superior;-0.5732
infecção;superior;0.716
interessante;superior;-0.2458
internar;superior;0.8679
intestino;superior;-0.2581
introdução;superior;0.2018
inventar;superior;0.2018
invocar;superior;1.1033
início;superior;1.0484
japonês;superior;1.6555
lado;superior;-0.1641
legume;superior;0.7603
leite;superior;-0.9843
lembrar;superior;-0.2458
levar;superior;0.502
lidar;superior;0.2018
líquido;superior;-0.5732
macarrão;superior;-0.3352
machucar;superior;0.6556
magro;superior;-0.7166
maior;superior;0.248
mal;superior;0.3168
mandar;superior;0.3643
manhã;superior;-0.5732
manter;superior;0.2331
mato;superior;-0.4298
medida;superior;-0.4298
medo;superior;-1.2916
melhorar;superior;-0.4306
menos;superior;-0.5975
metade;superior;-0.1432
metotrexato;superior;-0.4306
molho;superior;0.2018
momento;superior;-0.2458
monte;superior;0.716
moído;superior;-0.4298
mudar;superior;-0.3403
mundo;superior;-0.8602
mão;superior;0.2018
nariz;superior;-0.1641
necessidade;superior;0.6435
noite;superior;-0.2458
notar;superior;-0.1641
nunca;superior;0.9903
nutricionista;superior;-1.4348
nutrir;superior;-0.4298
náusea;superior;4.7896
observar;superior;0.4515
oferecer;superior;0.9899
ontem;superior;-0.5308
oral;superior;-1.291
ovo;superior;-0.1641
paladar;superior;0.5087
parar;superior;-0.8529
parecer;superior;-1.291
passar;superior;0.4571
pedaço;superior;1.1033
pedir;superior;-0.635
pensar;superior;-0.2886
pequeno;superior;0.5087
perceber;superior;0.9899
perder;superior;0.8696
perguntar;superior;0.502
permanecer;superior;0.3161
período;superior;-0.5732
peso;superior;-0.2458
pesquisar;superior;1.7443
pessoa;superior;0.3643
pior;superior;0.2018
praticamente;superior;0.2018
preciso;superior;-0.4298
preferir;superior;-0.2865
preso;superior;-0.2581
problema;superior;-0.3175
procedimento;superior;0.716
processo;superior;0.716
proibir;superior;1.6555
puro;superior;0.2018
pó;superior;-0.635
pôr;superior;-1.1474
qualidade;superior;0.2018
quantidade;superior;0.5087
queijo;superior;-0.2865
querer;superior;-0.4488
questão;superior;0.6703
quimioterapia;superior;2.1381
receio;superior;0.6556
recurso;superior;-0.4298
relacionar;superior;0.9899
relutante;superior;-0.2865
remédio;superior;0.4917
resolver;superior;-0.1641
respirar;superior;-0.2865
