forma;parte;score
vender;G1;-0.3271
verdura;G1;-0.5845
verduras;G1;1.4079
via;G1;-0.1971
vida;G1;-0.1613
vitamina;G1;-0.3271
voltar;G1;-0.7307
vomitar;G1;-1.4173
vontade;G1;-0.3926
ácido;G1;-0.1962
água;G1;-0.3313
ótimo;G1;-0.2616
acabar;G2;-0.4424
aceitar;G2;-2.0486
acompanhar;G2;0.6417
acostumar;G2;-0.2701
acreditar;G2;-0.9918
adaptar;G2;-0.2701
adiantar;G2;1.8786
adolescente;G2;0.4694
adorar;G2;0.5044
agradecer;G2;-0.3602
ajudar;G2;-0.778
alimentação;G2;-0.351
alteração;G2;-0.2701
alto;G2;-0.18
ambiente;G2;-0.2701
amendoim;G2;2.1854
apetite;G2;-0.7209
aprender;G2;-0.8112
apresentar;G2;-0.2701
arroz;G2;-0.5052
arrumar;G2;-0.2701
atrapalhar;G2;-0.3602
autismo;G2;2.1854
azedo;G2;-0.09
açúcar;G2;-0.213
bastante;G2;-1.128
bater;G2;-0.26
beber;G2;0.6699
bem;G2;-0.7433
benefício;G2;-0.2701
besteira;G2;1.809
boca;G2;0.3463
bola;G2;-0.18
bolo;G2;1.4563
bonito;G2;-0.2701
botar;G2;-0.2701
braço;G2;-0.2701
brigar;G2;-0.2701
básico;G2;-0.1631
cabeça;G2;-0.4503
café;G2;-0.3602
carne;G2;-0.5052
casa;G2;0.4554
casca;G2;0.249
cheiro;G2;-0.6355
comer;G2;0.7436
começar;G2;-1.7715
comida;G2;0.7804
comprar;G2;1.6053
conhecimento;G2;1.5795
conseguir;G2;-0.6793
consulta;G2;0.3344
contar;G2;-0.6307
continuar;G2;-0.3815
conversar;G2;-0.4503
corpo;G2;1.3468
correr;G2;-0.3227
correto;G2;-0.5405
cortar;G2;-0.213
cozinhar;G2;0.1902
cru;G2;0.249
cuidado;G2;-0.3602
câncer;G2;0.2985
danone;G2;-0.18
dentro;G2;1.6487
depender;G2;0.1902
descobrir;G2;0.1902
desconto;G2;1.4563
deus;G2;0.7011
diagnóstico;G2;-0.2701
diarreia;G2;-0.3602
dieta;G2;-0.5405
diferente;G2;-0.3036
dificuldade;G2;1.7283
digestão;G2;-0.2701
diminuir;G2;-0.9015
direto;G2;-0.5405
doce;G2;0.2576
dor;G2;-0.5405
dormir;G2;-0.3602
doutor;G2;2.1498
dúvida;G2;-0.3815
emagrecer;G2;-0.2701
engasgava;G2;-0.09
engolir;G2;-0.213
engordar;G2;-0.8112
enjoar;G2;3.346
entender;G2;0.7845
entrar;G2;-0.4503
errado;G2;-0.2701
específico;G2;-0.2701
esperar;G2;0.1902
essencial;G2;0.1902
estômago;G2;-0.1631
evitar;G2;0.3344
exame;G2;0.1902
exemplo;G2;-0.3227
experiência;G2;-0.1631
explicar;G2;-0.1804
falado;G2;-0.2701
falta;G2;0.7924
fase;G2;-0.1631
feijão;G2;-0.6307
final;G2;-0.2701
forma;G2;0.249
forte;G2;-0.4503
forçar;G2;0.5173
fraco;G2;-0.18
frango;G2;0.1902
frente;G2;0.3344
fruta;G2;-0.2322
funcionar;G2;0.4115
furado;G2;-0.09
fácil;G2;-0.7209
ganhar;G2;-0.5405
garrafa;G2;-0.3227
gastrostomia;G2;-1.4441
geral;G2;-0.4503
gostar;G2;-0.4722
gosto;G2;-0.3227
graça;G2;0.5882
grosso;G2;-0.2701
higiene;G2;-0.26
hipoclorito;G2;-0.3815
horrível;G2;-0.2701
hospital;G2;1.6619
importante;G2;-0.7209
imunidade;G2;0.7564
incomodar;G2;0.2332
independente;G2;-0.3602
infecção;G2;0.3344
interessante;G2;0.1902
internar;G2;0.9996
intestino;G2;-0.2189
introdução;G2;-0.2701
inventar;G2;0.3344
invocar;G2;1.4563
início;G2;0.7644
japonês;G2;2.1854
lado;G2;0.249
legume;G2;0.4012
leite;G2;-0.447
lembrar;G2;0.1902
levar;G2;0.7924
lidar;G2;-0.2701
líquido;G2;-0.3602
macarrão;G2;-0.1631
machucar;G2;-0.1631
magro;G2;-0.4503
maior;G2;0.2332
mal;G2;0.2223
mandar;G2;-0.4503
manhã;G2;-0.3602
manter;G2;-0.3036
mato;G2;-0.2701
medida;G2;-0.2701
medo;G2;-1.8065
melhorar;G2;-0.6307
menos;G2;-0.447
metade;G2;-0.09
metotrexato;G2;-0.6307
molho;G2;-0.2701
momento;G2;0.1902
monte;G2;1.0369
moído;G2;-0.2701
mudar;G2;0.4012
mundo;G2;-0.5405
mão;G2;0.3344
nariz;G2;-0.3602
necessidade;G2;-0.2189
noite;G2;0.1902
notar;G2;0.249
nunca;G2;-0.2542
nutricionista;G2;-0.9015
nutrir;G2;-0.2701
náusea;G2;2.5918
observar;G2;0.986
oferecer;G2;1.5795
ontem;G2;-0.2664
oral;G2;-0.8112
