forma;parte;score
pesquisar;0-3 meses;-1.2434
pessoa;0-3 meses;-0.3687
pior;0-3 meses;-0.3544
praticamente;0-3 meses;0.2535
preciso;0-3 meses;0.2535
preferir;0-3 meses;-0.1488
preso;0-3 meses;1.4521
problema;0-3 meses;-0.6967
procedimento;0-3 meses;-0.3544
processo;0-3 meses;-1.0084
proibir;0-3 meses;-1.0084
puro;0-3 meses;0.2535
pó;0-3 meses;-0.3919
pôr;0-3 meses;-1.676
qualidade;0-3 meses;-0.3544
quantidade;0-3 meses;1.8838
queijo;0-3 meses;-0.6721
querer;0-3 meses;-0.8977
questão;0-3 meses;0.7738
quimioterapia;0-3 meses;0.2816
receio;0-3 meses;0.3782
recurso;0-3 meses;-0.3544
relacionar;0-3 meses;-0.381
relutante;0-3 meses;-0.6721
remédio;0-3 meses;0.3449
resolver;0-3 meses;-0.5905
respirar;0-3 meses;-0.6721
ressecar;0-3 meses;-0.2023
restrição;0-3 meses;0.2535
resultado;0-3 meses;-0.3544
rim;0-3 meses;-1.0084
ritmo;0-3 meses;-1.0084
ruim;0-3 meses;0.6972
rápido;0-3 meses;-0.381
sabor;0-3 meses;-0.381
sabão;0-3 meses;-0.5619
sair;0-3 meses;-0.3111
salgado;0-3 meses;-0.775
salvar;0-3 meses;1.0756
salvação;0-3 meses;-0.6721
saudável;0-3 meses;-1.1136
seguro;0-3 meses;0.8065
seletivo;0-3 meses;-0.3687
semana;0-3 meses;0.4797
sensível;0-3 meses;1.0756
sentar;0-3 meses;-1.2434
sentir;0-3 meses;-1.642
sofrer;0-3 meses;-0.5619
soltar;0-3 meses;-0.2355
sonda;0-3 meses;-0.892
suco;0-3 meses;-0.775
suplemento;0-3 meses;-0.2859
suprir;0-3 meses;-0.2023
tempero;0-3 meses;-1.6815
tomar;0-3 meses;-0.8567
tranquilo;0-3 meses;0.2259
tratamento;0-3 meses;-1.291
trocar;0-3 meses;0.8065
uso;0-3 meses;-0.3919
uti;0-3 meses;0.3782
vender;0-3 meses;0.2425
verdura;0-3 meses;0.4511
verduras;0-3 meses;-1.1136
via;0-3 meses;0.4747
vida;0-3 meses;0.6972
vitamina;0-3 meses;-0.3687
voltar;0-3 meses;1.5156
vomitar;0-3 meses;0.3224
vontade;0-3 meses;0.3782
ácido;0-3 meses;-1.0084
água;0-3 meses;0.2936
ótimo;0-3 meses;0.4289
acabar;4-6 meses;-0.6061
aceitar;4-6 meses;-1.3017
acompanhar;4-6 meses;0.4765
acostumar;4-6 meses;0.1579
acreditar;4-6 meses;-1.8952
adaptar;4-6 meses;-0.516
adiantar;4-6 meses;1.0284
adolescente;4-6 meses;0.262
adorar;4-6 meses;0.1964
agradecer;4-6 meses;-0.6881
ajudar;4-6 meses;-0.4779
alimentação;4-6 meses;2.6873
alteração;4-6 meses;-0.516
alto;4-6 meses;0.262
ambiente;4-6 meses;0.1579
amendoim;4-6 meses;1.4577
apetite;4-6 meses;-0.6873
aprender;4-6 meses;-0.4057
apresentar;4-6 meses;-0.516
arroz;4-6 meses;-1.2315
arrumar;4-6 meses;0.601
atrapalhar;4-6 meses;-0.6881
autismo;4-6 meses;1.4577
azedo;4-6 meses;-0.1719
açúcar;4-6 meses;-0.5605
bastante;4-6 meses;-0.572
bater;4-6 meses;-0.2426
beber;4-6 meses;0.3686
bem;4-6 meses;-0.9581
benefício;4-6 meses;1.4577
besteira;4-6 meses;1.6907
boca;4-6 meses;-0.4686
bola;4-6 meses;-0.3439
bolo;4-6 meses;0.9715
bonito;4-6 meses;-0.516
botar;4-6 meses;0.601
braço;4-6 meses;-0.516
brigar;4-6 meses;-0.516
básico;4-6 meses;0.1964
cabeça;4-6 meses;-0.8603
café;4-6 meses;-0.2189
carne;4-6 meses;-1.2315
casa;4-6 meses;1.3581
casca;4-6 meses;-0.2189
cheiro;4-6 meses;-0.3044
comer;4-6 meses;0.4307
começar;4-6 meses;-0.5724
comida;4-6 meses;0.8846
comprar;4-6 meses;0.6995
conhecimento;4-6 meses;0.7871
conseguir;4-6 meses;-0.3782
consulta;4-6 meses;0.1579
contar;4-6 meses;-1.205
continuar;4-6 meses;-0.9532
conversar;4-6 meses;0.2787
corpo;4-6 meses;2.6481
correr;4-6 meses;-0.4057
correto;4-6 meses;0.1964
cortar;4-6 meses;1.3823
cozinhar;4-6 meses;-0.3246
cru;4-6 meses;-0.2189
cuidado;4-6 meses;-0.6881
câncer;4-6 meses;0.864
