uce_id;uci_id;grupo;n_participantes;sexo_predominante_responsaveis;sexo_predominante_pacientexs;escolaridade_predominante;regiao_predominante;tumor_predominante;tempo_tto_faixa;desnutricao_grupo;sne_grupo;sne_xp_grupo;n_tokens;n_active
grupo7__uce0018;grupo7;G7;4;feminino;masculino;superior;sudeste;solido;0-3 meses;0;0;0;49;18
grupo7__uce0019;grupo7;G7;4;feminino;masculino;superior;sudeste;solido;0-3 meses;0;0;0;45;9
grupo7__uce0020;grupo7;G7;4;feminino;masculino;superior;sudeste;solido;0-3 meses;0;0;0;52;11
grupo7__uce0021;grupo7;G7;4;feminino;masculino;superior;sudeste;solido;0-3 meses;0;0;0;41;9
grupo7__uce0022;grupo7;G7;4;feminino;masculino;superior;sudeste;solido;0-3 meses;0;0;0;44;10
grupo7__uce0023;grupo7;G7;4;feminino;masculino;superior;sudeste;solido;0-3 meses;0;0;0;47;13
grupo7__uce0024;grupo7;G7;4;feminino;masculino;superior;sudeste;solido;0-3 meses;0;0;0;40;9
grupo7__uce0025;grupo7;G7;4;feminino;masculino;superior;sudeste;solido;0-3 meses;0;0;0;41;10
grupo7__uce0026;grupo7;G7;4;feminino;masculino;superior;sudeste;solido;0-3 meses;0;0;0;45;12
grupo7__uce0027;grupo7;G7;4;feminino;masculino;superior;sudeste;solido;0-3 meses;0;0;0;40;9
grupo7__uce0028;grupo7;G7;4;feminino;masculino;superior;sudeste;solido;0-3 meses;0;0;0;58;13
grupo7__uce0029;grupo7;G7;4;feminino;masculino;superior;sudeste;solido;0-3 meses;0;0;0;49;11
grupo7__uce0030;grupo7;G7;4;feminino;masculino;superior;sudeste;solido;0-3 meses;0;0;0;45;11
grupo7__uce0031;grupo7;G7;4;feminino;masculino;superior;sudeste;solido;0-3 meses;0;0;0;44;12
grupo7__uce0032;grupo7;G7;4;feminino;masculino;superior;sudeste;solido;0-3 meses;0;0;0;41;5
grupo7__uce0033;grupo7;G7;4;feminino;masculino;superior;sudeste;solido;0-3 meses;0;0;0;57;15
grupo7__uce0034;grupo7;G7;4;feminino;masculino;superior;sudeste;solido;0-3 meses;0;0;0;47;10
grupo7__uce0035;grupo7;G7;4;feminino;masculino;superior;sudeste;solido;0-3 meses;0;0;0;46;8
grupo7__uce0036;grupo7;G7;4;feminino;masculino;superior;sudeste;solido;0-3 meses;0;0;0;34;11
grupo8__uce0000;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;41;1
grupo8__uce0001;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;46;13
grupo8__uce0002;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;60;15
grupo8__uce0003;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;61;17
grupo8__uce0004;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;44;14
grupo8__uce0005;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;51;22
grupo8__uce0006;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;40;2
grupo8__uce0007;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;63;22
grupo8__uce0008;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;53;22
grupo8__uce0009;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;43;9
grupo8__uce0010;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;48;13
grupo8__uce0011;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;50;16
grupo8__uce0012;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;57;20
grupo8__uce0013;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;42;13
grupo8__uce0014;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;45;15
grupo8__uce0015;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;50;13
grupo8__uce0016;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;51;13
grupo8__uce0017;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;48;14
grupo8__uce0018;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;44;10
grupo8__uce0019;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;46;15
grupo8__uce0020;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;48;13
grupo8__uce0021;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;41;8
grupo8__uce0022;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;74;19
grupo8__uce0023;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;42;13
grupo8__uce0024;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;45;15
grupo8__uce0025;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;41;10
grupo8__uce0026;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;51;16
grupo8__uce0027;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;40;10
grupo8__uce0028;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;65;16
grupo8__uce0029;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;46;12
grupo8__uce0030;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;43;13
grupo8__uce0031;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;45;10
grupo8__uce0032;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;54;14
grupo8__uce0033;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;43;8
grupo8__uce0034;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;48;9
grupo8__uce0035;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;55;9
grupo8__uce0036;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;46;12
grupo8__uce0037;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;55;4
grupo8__uce0038;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;55;19
grupo8__uce0039;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;58;9
grupo8__uce0040;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;43;7
grupo8__uce0041;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;74;21
grupo8__uce0042;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;46;10
grupo8__uce0043;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;47;11
grupo8__uce0044;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;59;10
grupo8__uce0045;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;43;10
grupo8__uce0046;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;41;4
grupo8__uce0047;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;44;12
grupo8__uce0048;grupo8;G8;4;feminino;feminino;medio;centro-oeste;solido;7-12 meses;1;1;2;19;5
