;aceitar;ajudar;alimentação;bastante;bater;beber;bem;besteira;boca;casa;cheiro;comer;começar;comida;conseguir;câncer;deus;diferente;dificuldade;doce;doutor;enjoar;entender;forçar;fruta;gastrostomia;gostar;graça;higiene;hospital;internar;legume;leite;mal;manter;medo;menos;mudar;nunca;náusea;observar;passar;perder;peso;problema;querer;questão;quimioterapia;remédio;sair;semana;sentir;sonda;suplemento;tomar;tratamento;verdura;voltar;vomitar;água
sair;2.0;0.0;2.0;0.0;3.0;1.0;0.0;0.0;2.0;1.0;0.0;4.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;0.0;0.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;0.0;2.0;1.0;0.0;1.0;0.0;5.0;2.0;4.0;0.0;0.0;1.0;2.0;1.0
semana;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;6.0;4.0;2.0;2.0;0.0;3.0;0.0;3.0;1.0;0.0;0.0;1.0;1.0;2.0;1.0;2.0;2.0;0.0;0.0;3.0;1.0;2.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;2.0;2.0;3.0;0.0;6.0;0.0;3.0;2.0;1.0;0.0;0.0;3.0;2.0;6.0;2.0;0.0;2.0;2.0;0.0
sentir;1.0;1.0;4.0;3.0;0.0;1.0;1.0;0.0;1.0;0.0;4.0;6.0;2.0;0.0;3.0;0.0;1.0;2.0;4.0;2.0;0.0;1.0;2.0;2.0;2.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;4.0;2.0;2.0;1.0;2.0;0.0;3.0;1.0;6.0;2.0;0.0;0.0;0.0;4.0;6.0;6.0;1.0;1.0;4.0;4.0;2.0
sonda;7.0;5.0;6.0;1.0;1.0;1.0;5.0;1.0;3.0;0.0;0.0;16.0;11.0;2.0;8.0;2.0;3.0;2.0;11.0;1.0;2.0;1.0;7.0;5.0;4.0;8.0;0.0;2.0;0.0;1.0;3.0;0.0;1.0;2.0;3.0;6.0;3.0;2.0;4.0;1.0;3.0;15.0;4.0;9.0;1.0;9.0;4.0;4.0;3.0;5.0;3.0;4.0;0.0;19.0;21.0;1.0;1.0;1.0;2.0;5.0
suplemento;7.0;12.0;8.0;6.0;0.0;4.0;5.0;0.0;2.0;1.0;2.0;22.0;10.0;5.0;7.0;2.0;0.0;0.0;9.0;4.0;0.0;2.0;5.0;4.0;7.0;3.0;7.0;0.0;0.0;1.0;2.0;0.0;2.0;2.0;7.0;5.0;5.0;1.0;1.0;0.0;1.0;11.0;6.0;13.0;1.0;5.0;1.0;4.0;1.0;2.0;2.0;6.0;19.0;0.0;35.0;3.0;3.0;3.0;3.0;2.0
tomar;8.0;6.0;8.0;3.0;3.0;5.0;12.0;4.0;7.0;2.0;3.0;28.0;14.0;7.0;13.0;3.0;2.0;2.0;17.0;11.0;0.0;4.0;7.0;8.0;9.0;1.0;9.0;2.0;1.0;3.0;9.0;2.0;11.0;2.0;3.0;5.0;4.0;4.0;3.0;4.0;4.0;8.0;5.0;9.0;3.0;23.0;3.0;13.0;14.0;4.0;6.0;6.0;21.0;35.0;0.0;6.0;3.0;6.0;14.0;9.0
tratamento;0.0;1.0;4.0;2.0;0.0;2.0;4.0;1.0;0.0;0.0;1.0;8.0;10.0;3.0;1.0;3.0;2.0;0.0;7.0;2.0;1.0;1.0;1.0;1.0;1.0;0.0;2.0;2.0;1.0;0.0;2.0;0.0;1.0;1.0;0.0;2.0;2.0;1.0;1.0;0.0;1.0;1.0;2.0;2.0;0.0;4.0;0.0;6.0;2.0;0.0;2.0;1.0;1.0;3.0;6.0;0.0;0.0;2.0;4.0;1.0
verdura;3.0;1.0;2.0;1.0;0.0;2.0;4.0;3.0;1.0;0.0;0.0;14.0;2.0;5.0;1.0;0.0;0.0;0.0;4.0;2.0;0.0;0.0;1.0;1.0;13.0;1.0;3.0;0.0;2.0;1.0;0.0;6.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;1.0;1.0;0.0;7.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;3.0;3.0;0.0;0.0;1.0;0.0;4.0
voltar;2.0;2.0;4.0;3.0;0.0;0.0;3.0;0.0;2.0;1.0;0.0;12.0;3.0;2.0;0.0;1.0;2.0;1.0;4.0;1.0;0.0;2.0;0.0;3.0;2.0;0.0;0.0;2.0;0.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;3.0;2.0;0.0;3.0;1.0;4.0;2.0;3.0;1.0;4.0;2.0;8.0;2.0;1.0;2.0;4.0;1.0;3.0;6.0;2.0;1.0;0.0;2.0;0.0
vomitar;2.0;2.0;1.0;3.0;0.0;1.0;4.0;0.0;1.0;0.0;1.0;13.0;6.0;2.0;3.0;0.0;3.0;1.0;2.0;2.0;2.0;1.0;2.0;0.0;1.0;2.0;3.0;3.0;0.0;0.0;1.0;1.0;2.0;3.0;0.0;2.0;2.0;1.0;0.0;7.0;2.0;3.0;4.0;4.0;4.0;7.0;2.0;13.0;12.0;2.0;2.0;4.0;2.0;3.0;14.0;4.0;0.0;2.0;0.0;4.0
água;4.0;1.0;3.0;0.0;1.0;3.0;4.0;2.0;1.0;1.0;1.0;10.0;7.0;3.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;2.0;0.0;3.0;8.0;3.0;5.0;0.0;5.0;0.0;3.0;2.0;1.0;0.0;1.0;2.0;2.0;3.0;2.0;1.0;3.0;2.0;1.0;2.0;1.0;5.0;2.0;3.0;2.0;1.0;0.0;2.0;5.0;2.0;9.0;1.0;4.0;0.0;4.0;0.0
